role,login_hour,failed_logins,files_accessed,sensitive_files_accessed,usb_insertions,external_email_count,vpn_usage,working_hours_violation,anomaly_score,insider_threat
2,5,0,15,1,0,1,0,0,0.174,0
2,5,1,23,1,0,2,0,0,0.696,0
3,6,1,18,1,0,2,1,0,0.774,0
1,3,0,11,0,0,2,1,0,0.54,0
2,21,2,15,1,0,4,0,0,0.521,0
2,22,0,14,2,1,2,0,0,0.715,0
0,19,3,11,1,0,1,0,1,0.874,0
3,7,2,10,1,1,2,0,0,0.165,0
2,18,0,14,2,1,0,0,0,0.025,0
0,22,1,13,0,0,1,0,0,0.097,1
3,22,1,10,0,0,1,0,1,0.383,0
2,14,0,16,1,0,3,0,0,0.499,0
2,4,1,12,0,0,2,0,0,0.152,0
2,3,0,7,0,0,3,0,0,0.015,0
2,17,1,10,1,1,2,1,1,0.738,0
3,9,1,12,1,0,0,1,0,0.849,0
2,6,3,11,0,0,2,0,0,0.405,0
2,7,2,21,0,0,1,0,1,0.96,0
2,5,3,16,0,0,2,0,0,0.8,0
2,2,0,17,2,0,3,1,0,0.473,0
2,15,1,14,0,0,0,0,0,0.097,0
2,2,1,14,0,0,1,1,0,0.737,0
2,12,0,6,0,1,1,1,1,0.871,0
0,20,0,15,1,0,0,0,0,0.935,0
2,12,3,9,1,2,4,0,0,0.91,0
2,16,1,16,0,1,1,0,0,0.508,0
2,6,1,14,0,1,2,1,0,0.66,0
2,13,0,13,1,0,0,0,1,0.848,0
1,20,2,15,0,0,1,0,0,0.427,1
1,0,2,14,2,0,3,0,1,0.986,0
2,3,1,14,2,1,2,0,1,0.629,0
2,3,0,14,0,1,2,0,1,0.693,0
3,8,1,20,0,2,2,0,1,0.394,0
1,11,1,18,2,0,0,0,0,0.918,0
2,16,1,14,0,1,1,0,0,0.299,0
3,0,1,15,1,1,1,0,1,0.561,1
3,13,0,8,0,0,3,1,0,0.513,1
2,3,0,29,0,1,1,1,0,0.817,0
3,1,0,20,1,0,1,0,0,0.695,0
2,1,1,22,0,0,1,1,0,0.853,0
2,14,1,17,1,0,2,1,0,0.048,0
2,3,0,17,1,1,4,0,0,0.539,0
2,21,1,19,2,0,3,0,0,0.134,0
1,2,1,10,0,0,3,0,1,0.943,0
2,23,0,14,1,1,2,1,0,0.59,0
0,18,5,16,1,1,1,0,0,0.342,0
2,10,2,12,1,1,1,1,1,0.93,0
2,6,0,19,0,0,3,1,0,0.557,1
2,0,4,14,2,1,1,1,0,0.84,0
2,18,1,13,0,1,3,1,0,0.91,0
2,21,2,17,0,1,3,1,0,0.669,1
2,1,1,22,1,0,1,0,0,0.009,1
2,12,0,28,0,0,3,0,0,0.006,0
0,18,2,19,4,1,4,1,0,0.149,0
2,12,2,9,1,0,3,0,1,0.932,0
2,16,0,15,1,0,2,0,1,0.771,0
2,19,5,15,0,0,0,0,1,0.327,0
2,13,0,13,2,1,4,1,0,0.613,0
2,22,2,14,1,0,5,0,0,0.056,1
1,20,1,16,1,3,3,1,0,0.456,0
3,9,1,11,0,0,2,0,0,0.089,0
2,5,0,16,1,1,2,1,1,0.903,0
2,11,2,13,2,1,2,1,0,0.773,0
2,4,0,14,0,0,2,1,0,0.569,0
2,23,2,12,1,0,1,0,1,0.192,0
2,16,1,20,1,0,0,1,0,0.777,0
2,4,0,16,1,1,0,0,0,0.42,0
1,9,4,14,1,1,1,0,1,0.214,0
2,9,3,14,1,1,4,0,1,0.39,0
0,10,1,18,0,1,1,1,1,0.327,0
2,9,2,26,2,1,2,0,0,0.527,0
3,7,0,22,0,0,2,0,0,0.329,0
2,7,4,16,0,0,2,0,0,0.545,0
0,21,0,16,1,0,0,1,0,0.549,1
1,21,1,13,1,0,1,0,0,0.663,0
2,11,3,17,2,0,0,1,1,0.661,0
2,3,2,24,0,0,2,0,0,0.042,0
0,5,0,12,0,0,2,1,0,0.654,0
0,5,0,16,1,0,4,0,0,0.199,0
0,9,0,18,1,1,1,0,0,0.115,0
2,10,0,15,1,2,3,0,0,0.462,0
1,8,2,19,0,1,3,0,1,0.397,0
1,6,0,15,1,0,2,1,0,0.637,0
2,7,2,20,2,1,1,0,0,0.817,1
2,14,5,12,0,0,0,0,0,0.411,1
2,1,2,14,1,1,1,0,0,0.616,1
1,20,2,10,0,0,1,0,1,0.904,0
3,7,1,11,1,1,2,0,0,0.89,0
2,21,3,11,0,0,2,0,0,0.711,0
3,13,0,7,0,0,1,0,0,0.271,1
2,2,0,13,1,0,0,0,0,0.023,0
2,0,2,14,0,0,3,0,0,0.815,0
2,0,0,16,1,0,3,1,0,0.892,0
2,6,1,26,1,0,2,0,1,0.207,0
2,4,2,15,2,1,3,0,0,0.47,0
3,12,2,13,0,1,1,0,0,0.425,0
2,21,1,13,0,1,0,1,0,0.6,1
2,6,0,13,1,0,1,0,0,0.829,0
2,19,0,18,0,0,3,0,0,0.869,0
0,3,2,12,3,1,0,0,1,0.178,0
3,16,1,10,0,2,1,0,0,0.148,1
2,19,2,10,0,1,1,0,0,0.852,0
2,6,3,10,0,1,0,0,1,0.618,0
3,0,0,13,2,0,7,1,0,0.896,0
2,14,0,15,0,0,3,1,0,0.227,0
3,22,1,13,0,0,2,0,1,0.718,1
2,8,1,13,1,1,1,0,0,0.086,0
2,14,1,8,0,0,1,0,0,0.058,1
2,10,0,10,1,2,2,0,0,0.3,0
2,12,1,16,1,1,3,0,1,0.119,0
2,7,1,22,0,1,2,0,0,0.577,0
3,8,1,17,0,1,2,0,0,0.148,0
2,3,0,14,2,0,1,0,0,0.507,0
3,6,4,23,0,2,2,1,0,0.143,0
3,20,0,12,0,1,1,1,0,0.944,0
2,18,1,11,0,2,3,1,0,0.42,0
2,21,0,13,0,1,3,0,0,0.541,0
2,3,0,18,0,0,4,0,0,0.071,0
3,1,1,19,0,0,3,0,1,0.294,0
2,3,0,16,0,0,3,0,0,0.762,0
2,2,4,14,0,1,2,1,0,0.194,0
3,19,0,13,0,1,4,0,0,0.496,0
2,3,2,13,1,1,4,0,0,0.32,0
2,2,0,15,0,2,4,1,0,0.544,0
2,17,2,13,1,1,2,0,0,0.78,0
2,13,1,15,0,1,3,0,0,0.851,0
3,9,0,21,0,0,4,0,0,0.131,0
2,6,0,14,1,2,2,0,1,0.68,0
3,9,1,10,1,0,3,1,0,0.41,0
2,12,0,23,0,1,2,0,0,0.654,0
2,15,1,15,0,1,3,0,0,0.253,0
1,19,1,11,0,0,0,0,0,0.682,0
2,3,1,15,1,0,3,0,0,0.787,0
2,7,1,8,1,1,2,0,0,0.362,1
0,16,1,21,1,1,1,0,0,0.342,0
2,10,1,13,1,0,2,0,0,0.421,0
2,12,2,11,0,0,2,1,1,0.569,0
3,5,0,7,1,1,2,0,0,0.678,0
2,14,4,21,2,1,0,1,0,0.276,0
3,19,2,20,1,0,5,0,0,0.09,0
2,22,3,18,1,2,0,1,1,0.775,0
2,17,0,16,2,1,2,1,0,0.532,0
2,15,3,18,3,0,2,0,0,0.511,0
2,2,2,7,0,1,3,0,0,0.5,0
1,22,0,14,0,0,1,0,1,0.381,0
2,21,1,17,0,1,0,0,0,0.525,0
2,3,2,15,1,0,2,0,0,0.551,1
2,18,1,12,1,1,3,1,0,0.095,0
3,1,0,15,0,0,3,1,0,0.01,0
2,19,0,8,0,1,3,1,0,0.81,0
3,13,2,17,2,1,2,0,0,0.199,0
2,21,2,14,1,0,1,0,1,0.626,0
1,11,1,18,1,0,1,0,0,0.283,1
2,5,0,14,3,1,2,1,0,0.628,0
2,9,3,17,1,0,1,0,0,0.961,0
1,5,1,9,0,0,1,1,0,0.282,0
2,6,0,14,2,0,0,1,0,0.796,0
0,18,1,9,1,1,2,0,0,0.706,1
2,4,2,22,0,0,0,1,0,0.13,0
2,6,1,18,0,1,1,1,1,0.578,0
2,13,2,16,2,0,1,0,0,0.49,0
2,10,0,17,1,0,2,0,1,0.011,1
2,2,1,7,1,1,3,0,1,0.933,0
2,19,1,14,0,0,1,0,0,0.695,0
2,6,1,14,1,1,1,0,1,0.649,0
1,18,3,9,1,0,4,1,0,0.171,1
2,10,0,21,1,1,2,0,0,0.233,0
2,2,3,13,3,1,5,0,1,0.822,0
2,10,3,19,0,2,1,0,0,0.033,0
2,19,1,11,0,1,2,1,1,0.268,1
3,0,1,22,1,0,6,0,0,0.191,0
1,22,0,14,0,0,2,1,0,0.15,0
2,7,1,11,1,1,0,0,1,0.399,0
2,15,1,15,2,1,2,1,0,0.744,1
1,20,2,13,0,0,1,1,0,0.501,0
2,21,1,14,0,0,4,1,0,0.771,0
2,23,0,10,1,0,2,0,0,0.242,0
2,16,3,19,2,0,2,0,0,0.545,0
3,16,2,13,1,1,1,0,0,0.807,0
3,7,0,11,1,1,3,1,0,0.063,0
2,14,3,13,0,1,1,1,0,0.184,0
2,7,2,17,2,1,2,0,0,0.322,0
3,20,2,10,0,3,0,1,0,0.924,0
3,17,1,17,0,1,4,0,0,0.712,0
3,23,2,17,1,1,5,1,0,0.245,0
0,1,0,18,0,0,0,1,0,0.368,0
2,19,0,17,1,1,4,0,0,0.762,0
2,6,0,11,0,1,1,1,0,0.645,0
2,5,0,16,0,1,0,0,0,0.564,0
2,10,3,17,0,1,1,1,1,0.08,0
3,16,3,14,2,0,4,0,1,0.347,0
2,3,2,12,0,1,5,1,0,0.492,0
0,9,0,13,1,0,0,1,0,0.16,0
2,19,0,17,1,0,3,0,1,0.616,0
3,22,2,16,0,1,0,0,0,0.301,0
2,5,1,19,1,0,2,0,0,0.598,1
2,0,0,14,4,2,2,0,0,0.342,0
2,2,2,15,1,1,1,0,0,0.062,1
2,21,1,15,2,0,6,0,0,0.674,0
1,9,0,22,1,0,2,0,0,0.801,1
2,10,0,15,0,2,5,0,0,0.15,1
3,16,1,16,0,0,4,0,0,0.042,0
2,5,3,17,0,0,3,0,0,0.287,1
2,10,0,19,0,2,2,1,0,0.142,1
3,13,4,7,2,0,2,0,0,0.556,1
2,4,1,14,2,0,2,1,1,0.421,0
3,18,2,14,0,0,2,1,1,0.475,1
2,6,3,16,0,1,4,1,1,0.998,0
0,22,0,19,1,1,0,0,0,0.032,0
2,12,2,14,0,0,1,1,1,0.771,1
2,9,4,11,1,0,2,1,0,0.037,0
1,11,0,11,1,0,3,1,0,0.691,0
2,3,0,16,0,0,3,1,0,0.203,0
0,16,1,18,0,0,3,0,1,0.544,0
0,19,1,10,0,1,1,0,1,0.345,0
2,20,1,16,0,1,1,1,0,0.179,0
3,7,4,12,0,0,5,0,1,0.729,0
1,0,2,20,0,1,1,0,0,0.096,0
2,11,2,17,1,1,4,1,0,0.814,0
2,13,3,14,0,2,1,0,0,0.914,0
2,5,0,10,1,0,1,0,0,0.046,0
0,20,0,16,0,1,0,0,1,0.666,0
2,6,0,14,0,1,1,1,1,0.837,1
2,9,4,19,0,0,2,0,0,0.781,0
3,2,1,10,1,1,1,0,0,0.924,0
0,5,3,11,1,0,3,1,0,0.564,1
2,1,2,15,0,0,1,1,1,0.846,1
3,1,2,16,1,0,5,0,1,0.999,0
2,18,1,18,0,0,1,0,1,0.722,1
3,1,2,18,1,0,5,0,0,0.833,0
2,0,0,19,0,0,2,1,0,0.728,0
2,6,1,14,2,0,3,0,0,0.763,0
0,16,1,13,2,0,1,0,0,0.271,1
3,18,4,19,1,0,1,1,0,0.966,1
0,21,1,14,0,1,2,1,0,0.234,1
1,19,1,16,0,1,4,0,0,0.365,0
2,12,3,13,1,1,0,0,1,0.297,0
2,12,0,15,0,1,1,0,0,0.235,0
2,19,1,11,0,1,0,0,0,0.009,0
2,9,2,21,0,2,1,0,0,0.168,0
2,10,0,15,0,1,4,0,0,0.247,0
2,6,2,8,0,0,3,1,0,0.392,0
2,21,3,16,1,0,1,0,1,0.223,0
2,14,2,16,0,0,1,1,0,0.435,0
2,12,2,14,1,0,2,0,0,0.476,0
2,23,1,18,0,2,0,0,0,0.585,0
2,23,1,13,1,1,1,0,0,0.912,0
2,23,1,9,1,1,2,0,0,0.906,1
1,0,0,15,0,3,1,0,0,0.437,0
2,12,1,13,0,1,2,0,1,0.874,0
2,8,1,22,2,1,7,0,1,0.086,0
2,23,1,10,1,1,1,0,0,0.185,0
2,2,1,26,0,0,1,0,0,0.115,1
2,10,0,14,2,0,3,1,0,0.727,1
1,18,1,17,2,0,2,0,1,0.189,0
2,10,0,16,1,2,2,0,0,0.11,0
0,14,0,11,0,1,3,0,0,0.609,0
3,10,1,13,0,0,3,0,0,0.007,0
2,17,2,17,0,0,1,0,1,0.282,0
1,10,1,9,0,1,3,0,0,0.644,0
2,13,1,11,1,1,1,0,0,0.554,0
2,3,0,14,1,0,4,0,0,0.162,0
0,20,0,16,0,0,2,0,0,0.133,0
2,0,1,17,1,2,0,0,0,0.35,0
0,3,2,12,1,0,3,0,0,0.772,0
2,19,4,21,0,1,0,0,0,0.052,0
1,4,0,15,0,0,4,1,1,0.286,0
2,19,2,20,0,1,0,0,0,0.063,0
2,15,0,24,0,0,4,1,0,0.792,1
2,3,1,15,1,0,4,1,0,0.201,0
3,20,0,7,3,0,1,0,0,0.232,0
3,15,0,22,1,1,4,1,0,0.278,0
2,9,1,11,0,1,3,0,1,0.165,1
2,0,0,20,1,2,0,1,0,0.566,0
2,15,3,23,0,0,3,0,0,0.374,0
1,17,3,16,1,2,2,1,0,0.321,0
2,12,1,23,2,1,1,0,0,0.969,0
3,21,0,12,2,0,0,1,0,0.929,0
3,12,2,23,0,1,1,1,0,0.99,0
2,22,2,9,2,1,0,1,1,0.488,1
2,13,0,16,1,0,1,0,0,0.567,0
2,14,0,10,2,0,0,0,0,0.484,0
3,16,3,11,1,2,2,0,1,0.81,1
1,6,4,14,0,0,2,1,0,0.707,0
1,5,2,9,3,0,1,0,0,0.081,0
2,1,1,13,2,1,3,0,0,0.708,0
2,21,1,15,1,0,2,1,0,0.614,0
2,13,1,21,1,2,0,0,1,0.553,0
2,4,2,16,0,2,3,0,0,0.992,0
0,9,1,13,0,2,1,0,0,0.357,0
2,11,4,17,1,1,2,0,1,0.993,0
2,9,2,15,1,0,2,0,0,0.189,1
1,22,1,12,2,0,1,0,0,0.699,0
1,18,0,12,1,0,4,0,1,0.679,0
1,5,4,10,1,0,2,0,0,0.034,0
1,1,1,14,1,1,1,0,0,0.384,1
1,0,1,19,0,1,0,1,0,0.757,0
2,6,0,16,0,0,0,0,0,0.052,0
1,15,2,13,1,2,1,0,0,0.18,0
2,19,0,18,0,0,1,0,0,0.586,0
2,21,2,11,1,1,4,0,0,0.665,0
2,4,0,15,1,0,4,1,0,0.866,0
1,16,0,11,1,1,0,1,0,0.271,0
2,9,2,15,1,1,2,0,0,0.883,1
2,3,1,12,0,2,1,0,0,0.957,0
2,21,0,23,0,1,1,0,0,0.86,1
1,16,1,12,2,0,0,0,0,0.741,0
3,11,2,17,1,1,2,1,1,0.259,0
2,5,1,21,0,1,4,0,0,0.906,0
2,3,2,19,3,0,1,1,0,0.762,0
2,17,0,15,1,0,0,0,0,0.476,1
2,16,0,14,1,1,1,1,0,0.762,0
2,2,2,11,1,2,3,1,1,0.91,0
2,20,0,12,0,0,3,1,0,0.153,0
2,22,0,13,2,0,1,0,0,0.817,1
1,5,3,17,1,0,1,1,0,0.121,0
3,10,3,16,2,1,2,0,0,0.224,0
2,1,2,17,0,0,4,1,1,0.947,0
2,17,3,20,3,2,2,0,0,0.814,1
2,14,0,15,2,0,3,0,0,0.753,0
2,1,0,13,1,0,3,0,1,0.611,0
2,3,3,21,0,0,3,1,0,0.078,0
2,3,1,11,0,0,1,1,0,0.513,1
2,17,1,15,1,2,2,0,0,0.746,0
2,9,1,12,1,0,1,0,0,0.846,0
3,3,0,15,2,0,4,0,0,0.28,1
0,23,2,13,2,0,1,1,0,0.751,0
2,10,0,16,0,1,1,0,0,0.997,0
0,6,3,18,1,0,3,0,0,0.625,0
2,0,3,21,0,1,1,1,1,0.733,0
2,2,1,20,0,2,2,0,0,0.092,0
2,0,2,27,2,2,2,0,0,0.144,1
2,19,3,18,1,0,3,0,0,0.36,1
1,20,2,16,1,1,4,0,0,0.873,0
3,14,0,15,1,0,0,0,0,0.919,1
3,21,2,18,1,1,3,1,1,0.153,0
2,20,1,17,3,0,4,0,1,0.309,0
2,1,3,9,3,0,3,0,0,0.794,0
2,21,0,17,0,0,2,0,0,0.082,0
2,1,2,13,0,1,3,0,0,0.2,0
2,2,2,26,0,3,1,1,0,0.663,1
2,19,2,19,0,0,1,0,0,0.249,0
2,11,2,13,0,1,2,0,0,0.799,1
3,20,1,9,1,0,2,0,0,0.501,0
0,22,3,16,1,1,1,0,0,0.521,0
0,13,1,14,0,1,1,0,1,0.256,1
2,5,0,22,2,0,1,0,0,0.618,0
2,10,1,13,2,1,2,0,0,0.675,0
2,19,0,15,1,0,4,0,0,0.607,0
2,15,5,21,1,1,3,1,0,0.172,0
2,17,3,18,2,3,1,0,0,0.551,0
1,11,1,16,1,1,3,0,1,0.153,0
3,8,1,17,2,0,2,0,0,0.125,1
2,19,1,16,1,0,3,0,0,0.053,1
2,20,0,19,0,2,0,0,0,0.941,1
1,16,0,14,0,0,0,0,1,0.877,0
2,13,0,15,0,1,2,0,0,0.471,0
2,3,1,17,1,1,1,1,0,0.04,1
2,13,1,19,1,0,1,0,0,0.643,1
2,1,0,17,1,0,2,1,0,0.111,0
2,20,0,22,2,0,1,1,0,0.461,0
0,10,3,19,1,1,3,1,0,0.708,1
2,10,1,15,0,0,2,1,0,0.917,0
3,19,0,13,2,0,2,0,0,0.351,0
2,0,3,15,0,0,2,0,0,0.083,0
2,4,2,10,0,2,4,1,0,0.492,1
1,17,0,10,1,0,5,0,0,0.187,0
2,17,3,21,1,0,2,1,0,0.758,1
2,17,0,13,2,0,1,0,1,0.068,1
2,19,3,18,1,0,1,0,1,0.701,0
2,3,1,20,0,2,4,0,0,0.939,0
1,12,2,14,0,0,3,0,0,0.293,0
2,16,2,7,2,0,4,0,0,0.792,0
2,17,1,21,2,0,1,0,0,0.996,0
1,16,2,15,1,1,0,0,1,0.561,0
2,5,1,14,1,0,2,0,0,0.983,0
3,8,1,8,2,1,4,1,0,0.144,0
2,1,4,15,3,0,1,0,0,0.113,0
2,10,2,8,3,1,5,0,0,0.805,0
2,14,1,17,1,1,2,0,0,0.65,0
2,14,1,17,0,0,2,0,0,0.091,1
2,0,1,11,0,0,4,0,0,0.427,0
2,20,2,14,1,1,2,0,0,0.113,0
2,5,3,13,0,2,0,0,0,0.525,0
1,4,3,12,0,2,1,0,1,0.062,0
1,10,0,14,0,1,4,0,0,0.52,0
2,11,0,10,1,0,1,0,0,0.784,0
1,15,1,15,1,2,0,1,1,0.497,0
3,21,0,11,0,0,4,1,1,0.693,0
2,19,2,15,1,0,1,0,1,0.821,0
2,18,2,14,0,0,2,1,1,0.824,0
2,6,1,13,1,1,2,0,0,0.358,0
2,18,0,16,0,0,1,1,1,0.952,0
2,22,0,16,2,0,1,0,0,0.675,1
1,10,0,20,1,0,3,1,1,0.298,0
1,21,1,20,0,0,5,0,0,0.68,0
2,0,0,13,0,0,5,0,0,0.809,0
2,1,1,11,2,0,0,1,0,0.35,0
0,0,1,9,0,1,1,0,1,0.379,0
1,21,2,21,1,1,1,0,0,0.528,0
2,23,0,19,0,0,2,1,1,0.011,0
2,0,2,20,0,0,3,0,0,0.791,0
2,12,3,11,0,1,2,0,1,0.047,0
2,7,1,13,0,1,3,0,0,0.523,0
2,10,0,10,1,2,4,0,0,0.45,0
2,11,2,20,0,2,1,1,0,0.339,1
2,4,1,18,0,1,5,0,0,0.247,0
2,14,1,13,0,0,1,0,1,0.536,0
0,0,2,15,0,1,2,1,0,0.296,1
2,16,1,17,0,1,1,0,0,0.243,1
3,1,1,15,1,1,1,0,1,0.862,0
0,10,2,11,1,0,2,1,0,0.465,0
0,21,4,23,0,0,3,0,0,0.984,0
3,6,2,13,1,1,2,1,0,0.209,0
2,13,1,18,2,0,3,1,1,0.27,0
2,14,2,7,1,0,2,0,0,0.136,0
1,0,1,16,1,0,4,1,1,0.028,0
1,15,1,14,1,1,3,0,0,0.474,0
2,9,3,15,0,2,3,1,0,0.241,0
3,18,1,21,0,0,3,1,0,0.373,0
2,0,2,16,0,0,4,0,0,0.281,0
2,17,0,11,1,0,3,1,1,0.811,0
2,2,0,18,2,1,2,0,1,0.167,0
2,0,2,16,2,0,3,0,0,0.031,0
2,3,2,8,2,0,2,1,0,0.253,1
1,2,3,14,1,0,2,0,0,0.872,1
2,16,1,18,1,0,0,0,0,0.658,0
2,20,3,21,1,0,5,1,0,0.548,0
2,16,1,12,2,2,2,0,1,0.302,0
2,17,0,12,2,0,1,1,0,0.45,0
2,16,1,14,1,1,3,0,1,0.711,0
2,21,1,15,0,0,3,0,1,0.708,0
2,11,2,15,1,1,3,0,0,0.944,0
2,6,2,20,1,0,2,0,0,0.328,0
2,15,2,11,1,0,1,0,0,0.162,0
2,3,0,19,0,0,5,0,1,0.93,0
0,0,2,18,1,1,2,0,1,0.88,0
2,11,1,15,1,2,4,1,0,0.859,0
2,13,1,15,0,0,1,0,0,0.236,0
2,4,0,12,2,1,2,0,0,0.243,0
2,5,1,15,0,0,1,0,0,0.786,0
2,7,2,10,1,0,2,0,0,0.946,0
2,2,1,16,1,0,2,0,0,0.523,0
3,11,3,11,2,0,3,0,0,0.274,0
2,7,1,16,1,0,3,0,0,0.777,0
1,1,1,20,0,1,1,0,0,0.252,0
2,4,0,13,1,0,1,0,0,0.429,0
2,14,0,14,2,1,1,1,0,0.86,0
