user_id,role,login_hour,failed_logins,files_accessed,sensitive_files_accessed,usb_insertions,external_email_count,vpn_usage,working_hours_violation,anomaly_score,insider_threat
U100052,Employee,9,1,15,2,1,1,1,0,0.623,0
U100053,Employee,18,0,12,0,0,1,1,0,0.863,0
U100054,Employee,2,2,8,2,1,5,0,1,0.891,0
U100055,Employee,18,1,17,0,0,2,0,1,0.307,1
U100056,Employee,0,1,17,0,1,3,0,0,0.134,0
U100057,Admin,4,1,19,1,0,3,1,0,0.994,0
U100058,Employee,0,0,12,0,0,1,1,0,0.768,1
U100059,Admin,5,0,16,0,0,1,0,0,0.438,0
U100060,Contractor,14,0,16,1,1,5,0,0,0.453,0
U100061,Admin,5,1,17,2,2,3,1,1,0.107,0
U100062,Employee,17,2,17,1,1,0,0,0,0.822,0
U100063,Employee,15,1,15,2,1,3,0,0,0.186,0
U100064,Employee,21,1,15,0,1,3,0,1,0.296,0
U100065,Employee,16,2,9,2,1,2,0,0,0.626,0
U100066,Contractor,18,3,13,0,2,6,0,1,0.534,0
U100067,Contractor,22,0,18,0,0,3,0,0,0.095,0
U100068,Manager,4,2,14,0,0,2,0,1,0.959,0
U100069,Employee,22,0,14,1,1,5,0,1,0.145,0
U100070,Manager,10,1,21,0,0,1,1,0,0.864,1
U100071,Employee,1,1,14,3,0,3,0,1,0.179,0
U100072,Employee,8,3,21,1,1,0,1,0,0.123,0
U100073,Employee,13,2,14,0,1,1,0,0,0.937,0
U100074,Admin,4,3,15,1,0,2,1,1,0.515,0
U100075,Employee,21,0,27,1,0,0,1,1,0.906,0
U100076,Employee,11,0,11,2,1,5,0,0,0.79,0
U100077,Employee,23,3,13,0,2,3,1,0,0.347,0
U100078,Employee,5,0,18,1,0,2,0,0,0.396,0
U100079,Employee,0,0,17,0,0,4,1,0,0.219,1
U100080,Employee,23,1,19,0,0,1,0,0,0.196,0
U100081,Employee,2,0,14,1,0,0,1,0,0.645,0
U100082,Employee,8,2,13,0,0,2,0,0,0.578,1
U100083,Manager,21,1,17,1,0,1,1,1,0.538,0
U100084,Manager,18,3,15,0,2,5,0,1,0.737,0
U100085,Employee,16,0,21,1,2,3,1,0,0.092,0
U100086,Employee,11,2,14,0,3,1,1,0,0.066,0
U100087,Manager,15,3,10,2,0,1,1,0,0.004,0
U100088,Manager,19,2,15,1,1,3,0,0,0.429,0
U100089,Admin,18,1,14,1,0,2,0,0,0.654,0
U100090,Manager,21,1,19,0,0,3,1,1,0.182,0
U100091,Contractor,3,2,10,0,0,3,1,0,0.553,1
U100092,Employee,19,2,19,1,0,1,1,1,0.094,0
U100093,Manager,3,1,27,2,0,0,0,0,0.917,0
U100094,Employee,4,0,16,0,1,1,1,0,0.051,0
U100095,Employee,17,1,12,1,0,3,0,1,0.592,0
U100096,Manager,5,2,12,1,1,0,1,0,0.598,0
U100097,Admin,14,2,11,0,0,4,0,0,0.844,0
U100098,Employee,5,1,19,1,0,4,0,1,0.601,0
U100099,Admin,13,1,11,0,1,1,0,0,0.434,0
U100100,Employee,17,1,14,1,2,3,0,1,0.628,1
U100101,Employee,7,2,15,0,1,1,1,1,0.331,0
U100102,Manager,6,2,19,1,0,0,0,0,0.471,0
U100103,Employee,12,1,13,2,0,2,0,1,0.504,0
U100104,Employee,4,1,20,1,1,1,0,1,0.774,0
U100105,Admin,16,4,20,1,0,3,0,0,0.041,0
U100106,Manager,23,1,15,2,1,1,0,0,0.43,0
U100107,Manager,21,1,16,0,2,2,0,0,0.918,0
U100108,Employee,19,1,17,1,0,2,0,1,0.672,0
U100109,Employee,3,0,17,0,0,1,1,0,0.6,0
U100110,Employee,1,2,18,4,0,1,0,0,0.814,0
U100111,Employee,1,3,17,0,1,2,1,1,0.452,0
U100112,Employee,22,0,13,3,0,1,0,1,0.344,0
U100113,Employee,1,0,11,0,1,1,0,0,0.546,1
U100114,Manager,8,0,15,0,0,2,0,0,0.595,0
U100115,Contractor,9,2,19,0,0,4,1,0,0.016,1
U100116,Employee,3,3,13,1,3,5,0,0,0.925,0
U100117,Employee,18,1,12,1,0,1,0,0,0.356,1
U100118,Admin,17,0,13,2,0,1,1,1,0.673,0
U100119,Employee,13,1,13,0,0,3,0,1,0.479,0
U100120,Employee,22,1,24,1,0,6,1,1,0.187,0
U100121,Employee,15,0,10,0,1,2,1,0,0.55,0
U100122,Employee,20,1,10,0,2,1,0,1,0.839,0
U100123,Manager,14,0,13,1,2,1,1,1,0.764,0
U100124,Manager,5,0,12,1,1,3,0,0,0.949,0
U100125,Employee,5,1,15,1,0,1,1,0,0.869,1
U100126,Employee,17,1,13,1,2,0,0,1,0.476,1
U100127,Manager,20,0,18,0,1,1,1,0,0.189,0
U100128,Contractor,15,0,19,0,0,2,0,1,0.491,0
U100129,Employee,5,0,15,1,0,1,0,0,0.174,0
U100130,Employee,5,1,23,1,0,2,0,0,0.696,0
U100131,Manager,6,1,18,1,0,2,1,0,0.774,0
U100132,Contractor,3,0,11,0,0,2,1,0,0.54,0
U100133,Employee,21,2,15,1,0,4,0,0,0.521,0
U100134,Employee,22,0,14,2,1,2,0,0,0.715,0
U100135,Admin,19,3,11,1,0,1,0,1,0.874,0
U100136,Manager,7,2,10,1,1,2,0,0,0.165,0
U100137,Employee,18,0,14,2,1,0,0,0,0.025,0
U100138,Admin,22,1,13,0,0,1,0,0,0.097,1
U100139,Manager,22,1,10,0,0,1,0,1,0.383,0
U100140,Employee,14,0,16,1,0,3,0,0,0.499,0
U100141,Employee,4,1,12,0,0,2,0,0,0.152,0
U100142,Employee,3,0,7,0,0,3,0,0,0.015,0
U100143,Employee,17,1,10,1,1,2,1,1,0.738,0
U100144,Manager,9,1,12,1,0,0,1,0,0.849,0
U100145,Employee,6,3,11,0,0,2,0,0,0.405,0
U100146,Employee,7,2,21,0,0,1,0,1,0.96,0
U100147,Employee,5,3,16,0,0,2,0,0,0.8,0
U100148,Employee,2,0,17,2,0,3,1,0,0.473,0
U100149,Employee,15,1,14,0,0,0,0,0,0.097,0
U100150,Employee,2,1,14,0,0,1,1,0,0.737,0
U100151,Employee,12,0,6,0,1,1,1,1,0.871,0
U100152,Admin,20,0,15,1,0,0,0,0,0.935,0
U100153,Employee,12,3,9,1,2,4,0,0,0.91,0
U100154,Employee,16,1,16,0,1,1,0,0,0.508,0
U100155,Employee,6,1,14,0,1,2,1,0,0.66,0
U100156,Employee,13,0,13,1,0,0,0,1,0.848,0
U100157,Contractor,20,2,15,0,0,1,0,0,0.427,1
U100158,Contractor,0,2,14,2,0,3,0,1,0.986,0
U100159,Employee,3,1,14,2,1,2,0,1,0.629,0
U100160,Employee,3,0,14,0,1,2,0,1,0.693,0
U100161,Manager,8,1,20,0,2,2,0,1,0.394,0
U100162,Contractor,11,1,18,2,0,0,0,0,0.918,0
U100163,Employee,16,1,14,0,1,1,0,0,0.299,0
U100164,Manager,0,1,15,1,1,1,0,1,0.561,1
U100165,Manager,13,0,8,0,0,3,1,0,0.513,1
U100166,Employee,3,0,29,0,1,1,1,0,0.817,0
U100167,Manager,1,0,20,1,0,1,0,0,0.695,0
U100168,Employee,1,1,22,0,0,1,1,0,0.853,0
U100169,Employee,14,1,17,1,0,2,1,0,0.048,0
U100170,Employee,3,0,17,1,1,4,0,0,0.539,0
U100171,Employee,21,1,19,2,0,3,0,0,0.134,0
U100172,Contractor,2,1,10,0,0,3,0,1,0.943,0
U100173,Employee,23,0,14,1,1,2,1,0,0.59,0
U100174,Admin,18,5,16,1,1,1,0,0,0.342,0
U100175,Employee,10,2,12,1,1,1,1,1,0.93,0
U100176,Employee,6,0,19,0,0,3,1,0,0.557,1
U100177,Employee,0,4,14,2,1,1,1,0,0.84,0
U100178,Employee,18,1,13,0,1,3,1,0,0.91,0
U100179,Employee,21,2,17,0,1,3,1,0,0.669,1
U100180,Employee,1,1,22,1,0,1,0,0,0.009,1
U100181,Employee,12,0,28,0,0,3,0,0,0.006,0
U100182,Admin,18,2,19,4,1,4,1,0,0.149,0
U100183,Employee,12,2,9,1,0,3,0,1,0.932,0
U100184,Employee,16,0,15,1,0,2,0,1,0.771,0
U100185,Employee,19,5,15,0,0,0,0,1,0.327,0
U100186,Employee,13,0,13,2,1,4,1,0,0.613,0
U100187,Employee,22,2,14,1,0,5,0,0,0.056,1
U100188,Contractor,20,1,16,1,3,3,1,0,0.456,0
U100189,Manager,9,1,11,0,0,2,0,0,0.089,0
U100190,Employee,5,0,16,1,1,2,1,1,0.903,0
U100191,Employee,11,2,13,2,1,2,1,0,0.773,0
U100192,Employee,4,0,14,0,0,2,1,0,0.569,0
U100193,Employee,23,2,12,1,0,1,0,1,0.192,0
U100194,Employee,16,1,20,1,0,0,1,0,0.777,0
U100195,Employee,4,0,16,1,1,0,0,0,0.42,0
U100196,Contractor,9,4,14,1,1,1,0,1,0.214,0
U100197,Employee,9,3,14,1,1,4,0,1,0.39,0
U100198,Admin,10,1,18,0,1,1,1,1,0.327,0
U100199,Employee,9,2,26,2,1,2,0,0,0.527,0
U100200,Manager,7,0,22,0,0,2,0,0,0.329,0
U100201,Employee,7,4,16,0,0,2,0,0,0.545,0
U100202,Admin,21,0,16,1,0,0,1,0,0.549,1
U100203,Contractor,21,1,13,1,0,1,0,0,0.663,0
U100204,Employee,11,3,17,2,0,0,1,1,0.661,0
U100205,Employee,3,2,24,0,0,2,0,0,0.042,0
U100206,Admin,5,0,12,0,0,2,1,0,0.654,0
U100207,Admin,5,0,16,1,0,4,0,0,0.199,0
U100208,Admin,9,0,18,1,1,1,0,0,0.115,0
U100209,Employee,10,0,15,1,2,3,0,0,0.462,0
U100210,Contractor,8,2,19,0,1,3,0,1,0.397,0
U100211,Contractor,6,0,15,1,0,2,1,0,0.637,0
U100212,Employee,7,2,20,2,1,1,0,0,0.817,1
U100213,Employee,14,5,12,0,0,0,0,0,0.411,1
U100214,Employee,1,2,14,1,1,1,0,0,0.616,1
U100215,Contractor,20,2,10,0,0,1,0,1,0.904,0
U100216,Manager,7,1,11,1,1,2,0,0,0.89,0
U100217,Employee,21,3,11,0,0,2,0,0,0.711,0
U100218,Manager,13,0,7,0,0,1,0,0,0.271,1
U100219,Employee,2,0,13,1,0,0,0,0,0.023,0
U100220,Employee,0,2,14,0,0,3,0,0,0.815,0
U100221,Employee,0,0,16,1,0,3,1,0,0.892,0
U100222,Employee,6,1,26,1,0,2,0,1,0.207,0
U100223,Employee,4,2,15,2,1,3,0,0,0.47,0
U100224,Manager,12,2,13,0,1,1,0,0,0.425,0
U100225,Employee,21,1,13,0,1,0,1,0,0.6,1
U100226,Employee,6,0,13,1,0,1,0,0,0.829,0
U100227,Employee,19,0,18,0,0,3,0,0,0.869,0
U100228,Admin,3,2,12,3,1,0,0,1,0.178,0
U100229,Manager,16,1,10,0,2,1,0,0,0.148,1
U100230,Employee,19,2,10,0,1,1,0,0,0.852,0
U100231,Employee,6,3,10,0,1,0,0,1,0.618,0
U100232,Manager,0,0,13,2,0,7,1,0,0.896,0
U100233,Employee,14,0,15,0,0,3,1,0,0.227,0
U100234,Manager,22,1,13,0,0,2,0,1,0.718,1
U100235,Employee,8,1,13,1,1,1,0,0,0.086,0
U100236,Employee,14,1,8,0,0,1,0,0,0.058,1
U100237,Employee,10,0,10,1,2,2,0,0,0.3,0
U100238,Employee,12,1,16,1,1,3,0,1,0.119,0
U100239,Employee,7,1,22,0,1,2,0,0,0.577,0
U100240,Manager,8,1,17,0,1,2,0,0,0.148,0
U100241,Employee,3,0,14,2,0,1,0,0,0.507,0
U100242,Manager,6,4,23,0,2,2,1,0,0.143,0
U100243,Manager,20,0,12,0,1,1,1,0,0.944,0
U100244,Employee,18,1,11,0,2,3,1,0,0.42,0
U100245,Employee,21,0,13,0,1,3,0,0,0.541,0
U100246,Employee,3,0,18,0,0,4,0,0,0.071,0
U100247,Manager,1,1,19,0,0,3,0,1,0.294,0
U100248,Employee,3,0,16,0,0,3,0,0,0.762,0
U100249,Employee,2,4,14,0,1,2,1,0,0.194,0
U100250,Manager,19,0,13,0,1,4,0,0,0.496,0
U100251,Employee,3,2,13,1,1,4,0,0,0.32,0
U100252,Employee,2,0,15,0,2,4,1,0,0.544,0
U100253,Employee,17,2,13,1,1,2,0,0,0.78,0
U100254,Employee,13,1,15,0,1,3,0,0,0.851,0
U100255,Manager,9,0,21,0,0,4,0,0,0.131,0
U100256,Employee,6,0,14,1,2,2,0,1,0.68,0
U100257,Manager,9,1,10,1,0,3,1,0,0.41,0
U100258,Employee,12,0,23,0,1,2,0,0,0.654,0
U100259,Employee,15,1,15,0,1,3,0,0,0.253,0
U100260,Contractor,19,1,11,0,0,0,0,0,0.682,0
U100261,Employee,3,1,15,1,0,3,0,0,0.787,0
U100262,Employee,7,1,8,1,1,2,0,0,0.362,1
U100263,Admin,16,1,21,1,1,1,0,0,0.342,0
U100264,Employee,10,1,13,1,0,2,0,0,0.421,0
U100265,Employee,12,2,11,0,0,2,1,1,0.569,0
U100266,Manager,5,0,7,1,1,2,0,0,0.678,0
U100267,Employee,14,4,21,2,1,0,1,0,0.276,0
U100268,Manager,19,2,20,1,0,5,0,0,0.09,0
U100269,Employee,22,3,18,1,2,0,1,1,0.775,0
U100270,Employee,17,0,16,2,1,2,1,0,0.532,0
U100271,Employee,15,3,18,3,0,2,0,0,0.511,0
U100272,Employee,2,2,7,0,1,3,0,0,0.5,0
U100273,Contractor,22,0,14,0,0,1,0,1,0.381,0
U100274,Employee,21,1,17,0,1,0,0,0,0.525,0
U100275,Employee,3,2,15,1,0,2,0,0,0.551,1
U100276,Employee,18,1,12,1,1,3,1,0,0.095,0
U100277,Manager,1,0,15,0,0,3,1,0,0.01,0
U100278,Employee,19,0,8,0,1,3,1,0,0.81,0
U100279,Manager,13,2,17,2,1,2,0,0,0.199,0
U100280,Employee,21,2,14,1,0,1,0,1,0.626,0
U100281,Contractor,11,1,18,1,0,1,0,0,0.283,1
U100282,Employee,5,0,14,3,1,2,1,0,0.628,0
U100283,Employee,9,3,17,1,0,1,0,0,0.961,0
U100284,Contractor,5,1,9,0,0,1,1,0,0.282,0
U100285,Employee,6,0,14,2,0,0,1,0,0.796,0
U100286,Admin,18,1,9,1,1,2,0,0,0.706,1
U100287,Employee,4,2,22,0,0,0,1,0,0.13,0
U100288,Employee,6,1,18,0,1,1,1,1,0.578,0
U100289,Employee,13,2,16,2,0,1,0,0,0.49,0
U100290,Employee,10,0,17,1,0,2,0,1,0.011,1
U100291,Employee,2,1,7,1,1,3,0,1,0.933,0
U100292,Employee,19,1,14,0,0,1,0,0,0.695,0
U100293,Employee,6,1,14,1,1,1,0,1,0.649,0
U100294,Contractor,18,3,9,1,0,4,1,0,0.171,1
U100295,Employee,10,0,21,1,1,2,0,0,0.233,0
U100296,Employee,2,3,13,3,1,5,0,1,0.822,0
U100297,Employee,10,3,19,0,2,1,0,0,0.033,0
U100298,Employee,19,1,11,0,1,2,1,1,0.268,1
U100299,Manager,0,1,22,1,0,6,0,0,0.191,0
U100300,Contractor,22,0,14,0,0,2,1,0,0.15,0
U100301,Employee,7,1,11,1,1,0,0,1,0.399,0
U100302,Employee,15,1,15,2,1,2,1,0,0.744,1
U100303,Contractor,20,2,13,0,0,1,1,0,0.501,0
U100304,Employee,21,1,14,0,0,4,1,0,0.771,0
U100305,Employee,23,0,10,1,0,2,0,0,0.242,0
U100306,Employee,16,3,19,2,0,2,0,0,0.545,0
U100307,Manager,16,2,13,1,1,1,0,0,0.807,0
U100308,Manager,7,0,11,1,1,3,1,0,0.063,0
U100309,Employee,14,3,13,0,1,1,1,0,0.184,0
U100310,Employee,7,2,17,2,1,2,0,0,0.322,0
U100311,Manager,20,2,10,0,3,0,1,0,0.924,0
U100312,Manager,17,1,17,0,1,4,0,0,0.712,0
U100313,Manager,23,2,17,1,1,5,1,0,0.245,0
U100314,Admin,1,0,18,0,0,0,1,0,0.368,0
U100315,Employee,19,0,17,1,1,4,0,0,0.762,0
U100316,Employee,6,0,11,0,1,1,1,0,0.645,0
U100317,Employee,5,0,16,0,1,0,0,0,0.564,0
U100318,Employee,10,3,17,0,1,1,1,1,0.08,0
U100319,Manager,16,3,14,2,0,4,0,1,0.347,0
U100320,Employee,3,2,12,0,1,5,1,0,0.492,0
U100321,Admin,9,0,13,1,0,0,1,0,0.16,0
U100322,Employee,19,0,17,1,0,3,0,1,0.616,0
U100323,Manager,22,2,16,0,1,0,0,0,0.301,0
U100324,Employee,5,1,19,1,0,2,0,0,0.598,1
U100325,Employee,0,0,14,4,2,2,0,0,0.342,0
U100326,Employee,2,2,15,1,1,1,0,0,0.062,1
U100327,Employee,21,1,15,2,0,6,0,0,0.674,0
U100328,Contractor,9,0,22,1,0,2,0,0,0.801,1
U100329,Employee,10,0,15,0,2,5,0,0,0.15,1
U100330,Manager,16,1,16,0,0,4,0,0,0.042,0
U100331,Employee,5,3,17,0,0,3,0,0,0.287,1
U100332,Employee,10,0,19,0,2,2,1,0,0.142,1
U100333,Manager,13,4,7,2,0,2,0,0,0.556,1
U100334,Employee,4,1,14,2,0,2,1,1,0.421,0
U100335,Manager,18,2,14,0,0,2,1,1,0.475,1
U100336,Employee,6,3,16,0,1,4,1,1,0.998,0
U100337,Admin,22,0,19,1,1,0,0,0,0.032,0
U100338,Employee,12,2,14,0,0,1,1,1,0.771,1
U100339,Employee,9,4,11,1,0,2,1,0,0.037,0
U100340,Contractor,11,0,11,1,0,3,1,0,0.691,0
U100341,Employee,3,0,16,0,0,3,1,0,0.203,0
U100342,Admin,16,1,18,0,0,3,0,1,0.544,0
U100343,Admin,19,1,10,0,1,1,0,1,0.345,0
U100344,Employee,20,1,16,0,1,1,1,0,0.179,0
U100345,Manager,7,4,12,0,0,5,0,1,0.729,0
U100346,Contractor,0,2,20,0,1,1,0,0,0.096,0
U100347,Employee,11,2,17,1,1,4,1,0,0.814,0
U100348,Employee,13,3,14,0,2,1,0,0,0.914,0
U100349,Employee,5,0,10,1,0,1,0,0,0.046,0
U100350,Admin,20,0,16,0,1,0,0,1,0.666,0
U100351,Employee,6,0,14,0,1,1,1,1,0.837,1
U100352,Employee,9,4,19,0,0,2,0,0,0.781,0
U100353,Manager,2,1,10,1,1,1,0,0,0.924,0
U100354,Admin,5,3,11,1,0,3,1,0,0.564,1
U100355,Employee,1,2,15,0,0,1,1,1,0.846,1
U100356,Manager,1,2,16,1,0,5,0,1,0.999,0
U100357,Employee,18,1,18,0,0,1,0,1,0.722,1
U100358,Manager,1,2,18,1,0,5,0,0,0.833,0
U100359,Employee,0,0,19,0,0,2,1,0,0.728,0
U100360,Employee,6,1,14,2,0,3,0,0,0.763,0
U100361,Admin,16,1,13,2,0,1,0,0,0.271,1
U100362,Manager,18,4,19,1,0,1,1,0,0.966,1
U100363,Admin,21,1,14,0,1,2,1,0,0.234,1
U100364,Contractor,19,1,16,0,1,4,0,0,0.365,0
U100365,Employee,12,3,13,1,1,0,0,1,0.297,0
U100366,Employee,12,0,15,0,1,1,0,0,0.235,0
U100367,Employee,19,1,11,0,1,0,0,0,0.009,0
U100368,Employee,9,2,21,0,2,1,0,0,0.168,0
U100369,Employee,10,0,15,0,1,4,0,0,0.247,0
U100370,Employee,6,2,8,0,0,3,1,0,0.392,0
U100371,Employee,21,3,16,1,0,1,0,1,0.223,0
U100372,Employee,14,2,16,0,0,1,1,0,0.435,0
U100373,Employee,12,2,14,1,0,2,0,0,0.476,0
U100374,Employee,23,1,18,0,2,0,0,0,0.585,0
U100375,Employee,23,1,13,1,1,1,0,0,0.912,0
U100376,Employee,23,1,9,1,1,2,0,0,0.906,1
U100377,Contractor,0,0,15,0,3,1,0,0,0.437,0
U100378,Employee,12,1,13,0,1,2,0,1,0.874,0
U100379,Employee,8,1,22,2,1,7,0,1,0.086,0
U100380,Employee,23,1,10,1,1,1,0,0,0.185,0
U100381,Employee,2,1,26,0,0,1,0,0,0.115,1
U100382,Employee,10,0,14,2,0,3,1,0,0.727,1
U100383,Contractor,18,1,17,2,0,2,0,1,0.189,0
U100384,Employee,10,0,16,1,2,2,0,0,0.11,0
U100385,Admin,14,0,11,0,1,3,0,0,0.609,0
U100386,Manager,10,1,13,0,0,3,0,0,0.007,0
U100387,Employee,17,2,17,0,0,1,0,1,0.282,0
U100388,Contractor,10,1,9,0,1,3,0,0,0.644,0
U100389,Employee,13,1,11,1,1,1,0,0,0.554,0
U100390,Employee,3,0,14,1,0,4,0,0,0.162,0
U100391,Admin,20,0,16,0,0,2,0,0,0.133,0
U100392,Employee,0,1,17,1,2,0,0,0,0.35,0
U100393,Admin,3,2,12,1,0,3,0,0,0.772,0
U100394,Employee,19,4,21,0,1,0,0,0,0.052,0
U100395,Contractor,4,0,15,0,0,4,1,1,0.286,0
U100396,Employee,19,2,20,0,1,0,0,0,0.063,0
U100397,Employee,15,0,24,0,0,4,1,0,0.792,1
U100398,Employee,3,1,15,1,0,4,1,0,0.201,0
U100399,Manager,20,0,7,3,0,1,0,0,0.232,0
U100400,Manager,15,0,22,1,1,4,1,0,0.278,0
U100401,Employee,9,1,11,0,1,3,0,1,0.165,1
U100402,Employee,0,0,20,1,2,0,1,0,0.566,0
U100403,Employee,15,3,23,0,0,3,0,0,0.374,0
U100404,Contractor,17,3,16,1,2,2,1,0,0.321,0
U100405,Employee,12,1,23,2,1,1,0,0,0.969,0
U100406,Manager,21,0,12,2,0,0,1,0,0.929,0
U100407,Manager,12,2,23,0,1,1,1,0,0.99,0
U100408,Employee,22,2,9,2,1,0,1,1,0.488,1
U100409,Employee,13,0,16,1,0,1,0,0,0.567,0
U100410,Employee,14,0,10,2,0,0,0,0,0.484,0
U100411,Manager,16,3,11,1,2,2,0,1,0.81,1
U100412,Contractor,6,4,14,0,0,2,1,0,0.707,0
U100413,Contractor,5,2,9,3,0,1,0,0,0.081,0
U100414,Employee,1,1,13,2,1,3,0,0,0.708,0
U100415,Employee,21,1,15,1,0,2,1,0,0.614,0
U100416,Employee,13,1,21,1,2,0,0,1,0.553,0
U100417,Employee,4,2,16,0,2,3,0,0,0.992,0
U100418,Admin,9,1,13,0,2,1,0,0,0.357,0
U100419,Employee,11,4,17,1,1,2,0,1,0.993,0
U100420,Employee,9,2,15,1,0,2,0,0,0.189,1
U100421,Contractor,22,1,12,2,0,1,0,0,0.699,0
U100422,Contractor,18,0,12,1,0,4,0,1,0.679,0
U100423,Contractor,5,4,10,1,0,2,0,0,0.034,0
U100424,Contractor,1,1,14,1,1,1,0,0,0.384,1
U100425,Contractor,0,1,19,0,1,0,1,0,0.757,0
U100426,Employee,6,0,16,0,0,0,0,0,0.052,0
U100427,Contractor,15,2,13,1,2,1,0,0,0.18,0
U100428,Employee,19,0,18,0,0,1,0,0,0.586,0
U100429,Employee,21,2,11,1,1,4,0,0,0.665,0
U100430,Employee,4,0,15,1,0,4,1,0,0.866,0
U100431,Contractor,16,0,11,1,1,0,1,0,0.271,0
U100432,Employee,9,2,15,1,1,2,0,0,0.883,1
U100433,Employee,3,1,12,0,2,1,0,0,0.957,0
U100434,Employee,21,0,23,0,1,1,0,0,0.86,1
U100435,Contractor,16,1,12,2,0,0,0,0,0.741,0
U100436,Manager,11,2,17,1,1,2,1,1,0.259,0
U100437,Employee,5,1,21,0,1,4,0,0,0.906,0
U100438,Employee,3,2,19,3,0,1,1,0,0.762,0
U100439,Employee,17,0,15,1,0,0,0,0,0.476,1
U100440,Employee,16,0,14,1,1,1,1,0,0.762,0
U100441,Employee,2,2,11,1,2,3,1,1,0.91,0
U100442,Employee,20,0,12,0,0,3,1,0,0.153,0
U100443,Employee,22,0,13,2,0,1,0,0,0.817,1
U100444,Contractor,5,3,17,1,0,1,1,0,0.121,0
U100445,Manager,10,3,16,2,1,2,0,0,0.224,0
U100446,Employee,1,2,17,0,0,4,1,1,0.947,0
U100447,Employee,17,3,20,3,2,2,0,0,0.814,1
U100448,Employee,14,0,15,2,0,3,0,0,0.753,0
U100449,Employee,1,0,13,1,0,3,0,1,0.611,0
U100450,Employee,3,3,21,0,0,3,1,0,0.078,0
U100451,Employee,3,1,11,0,0,1,1,0,0.513,1
U100452,Employee,17,1,15,1,2,2,0,0,0.746,0
U100453,Employee,9,1,12,1,0,1,0,0,0.846,0
U100454,Manager,3,0,15,2,0,4,0,0,0.28,1
U100455,Admin,23,2,13,2,0,1,1,0,0.751,0
U100456,Employee,10,0,16,0,1,1,0,0,0.997,0
U100457,Admin,6,3,18,1,0,3,0,0,0.625,0
U100458,Employee,0,3,21,0,1,1,1,1,0.733,0
U100459,Employee,2,1,20,0,2,2,0,0,0.092,0
